coptic,greek
ⲁⲣⲧⲟⲥ,αρτος
ⲁⲣⲧⲩⲙⲓⲥ,αρτεμις
ⲁⲣⲭⲁⲅⲅⲉⲗⲓⲕⲏ,αρχαγγελικος
ⲁⲣⲭⲁⲅⲅⲉⲗⲟⲥ,αρχαγγελος
ⲁⲣⲭⲁⲓⲟⲛ,αρχαιον
ⲁⲣⲭⲁⲓⲟⲥ,αρχαιος
ⲁⲣⲭⲉⲓ,αρχω
ⲁⲣⲭⲉⲥⲑⲁⲓ,αρχω
ⲁⲣⲭⲏ,αρχη
ⲁⲣⲭⲏⲁⲧⲣⲟⲥ,αρχιατρος
ⲁⲣⲭⲏⲅⲟⲥ,αρχηγος
ⲁⲣⲭⲏⲇⲓⲁⲕⲟⲛⲟⲥ,αρχιδιακονος
ⲁⲣⲭⲏⲇⲓⲁⲕⲱⲛ,αρχιδιακων
ⲁⲣⲭⲏⲇⲓⲁⲕⳇ,αρχιδιακονος
ⲁⲣⲭⲏⲉⲡⲓⲥⲕⲟⲡⲟⲥ,αρχιεπισκοπος
ⲁⲣⲭⲏⲑⲗⲓⲧⲏⲥ,αρχιαθλητης
ⲁⲣⲭⲏⲕⲣⲓⲧⲏⲥ,αρχικριτης
ⲁⲣⲭⲏⲗⲏⲥⲧⲏⲥ,αρχιληστης
