hebrew,greek,score,hebrew_gloss,greek_gloss
שגח,θεάομαι,0.500,gaze,contemplate
שאה,θεάομαι,0.500,gaze,contemplate
כלי,ὄργανος,0.500,tool,tool
כלי,ὀργαίνω,0.500,tool,tool
רבבה,πλῆθος,0.500,multitude,people
רבבה,ὄχλος,0.500,multitude,throng
רכב,ἐλαύνω,0.500,ride,march
רכב,ἱππεύω,0.500,ride,ride
מרע,φίλος,0.500,friend,dear
מרע,ἑταῖρος,0.500,friend,friend
צוד,θηρεύω,0.500,hunt,hunt
צוד,θηράω,0.500,hunt,hunt after
חלקה,λειότης,0.500,smoothness,smoothness
חלקלקות,λειότης,0.500,smoothness,smoothness
מרירי,πικρός,0.500,bitter,bitter
מר,πικρός,0.500,bitter,bitter
שכח,ἐπιλήθω,0.500,forget,forget
שכח,λανθάνω,0.500,forget,fail
משכרת,μισθός,0.500,wage,reward
משכרת,πολεμέω,0.500,wage,wage
לוה,ἀκολουθέω,0.500,accompany,accompany
לוה,ἕπομαι,0.500,accompany,attend
חרפה,ὀνειδίζω,0.500,reproach,taunt
חרפה,ὄνειδος,0.500,reproach,scandal
פורה,πυρός,0.500,trough,trough
רהט,πυρός,0.500,trough,trough
אתמול,χθιζός,0.500,yesterday,yesterday
תמול,χθιζός,0.500,yesterday,yesterday
חפש,ζητέω,0.500,be free,investigate
חפש,ζήτησις,0.500,be free,investigation
גל,κλύδων,0.500,"wave, heap",wave
גל,κῦμα,0.500,"wave, heap",billow
שהדו,μαρτυρέω,0.500,testimony,witness
שהדו,μαρτυρία,0.500,testimony,evidence
אבק,παλαίω,0.500,wrestle,wrestle
אבק,παλέω,0.500,wrestle,wrestle
חנן,χαρίζομαι,0.500,favour,oblige
חנן,χάρις,0.500,favour,favour
בטח,πιστεύω,0.500,trust,credit
מבטח,πιστεύω,0.500,trust,credit
באש,ὄζω,0.500,stink,stink
זנח,ὄζω,0.500,stink,stink
יבם,γάμος,0.500,marry,marry
יבם,γαμέω,0.500,marry,wed
אסיר,δεσμώτης,0.500,prisoner,prisoner
אסיר,αἰχμάλωτος,0.500,prisoner,prisoner
פתרון,ἑρμηνεία,0.500,interpretation,interpretation
פשר,ἑρμηνεία,0.500,interpretation,interpretation
