nt_book,nt_chap,nt_verse,lxx_chap,lxx_verse,votes,nt_v6_ref,lxx_v6_ref
Matt,6,9,113,5,20,sahidica.matthew.6.9,sahidic.psalms.113.5
Matt,6,9,113,6,20,sahidica.matthew.6.9,sahidic.psalms.113.6
Matt,6,9,113,7,20,sahidica.matthew.6.9,sahidic.psalms.113.7
Matt,6,9,113,8,20,sahidica.matthew.6.9,sahidic.psalms.113.8
Matt,6,9,113,9,20,sahidica.matthew.6.9,sahidic.psalms.113.9
Matt,6,9,113,10,20,sahidica.matthew.6.9,sahidic.psalms.113.10
Matt,6,9,113,11,20,sahidica.matthew.6.9,sahidic.psalms.113.11
Matt,6,9,113,12,20,sahidica.matthew.6.9,sahidic.psalms.113.12
Matt,6,9,113,13,20,sahidica.matthew.6.9,sahidic.psalms.113.13
Matt,6,9,113,14,20,sahidica.matthew.6.9,sahidic.psalms.113.14
Matt,6,9,113,15,20,sahidica.matthew.6.9,sahidic.psalms.113.15
Matt,6,9,113,16,20,sahidica.matthew.6.9,sahidic.psalms.113.16
Matt,6,9,113,17,20,sahidica.matthew.6.9,sahidic.psalms.113.17
Matt,6,9,113,18,20,sahidica.matthew.6.9,sahidic.psalms.113.18
Matt,6,9,113,19,20,sahidica.matthew.6.9,sahidic.psalms.113.19
Matt,6,9,113,20,20,sahidica.matthew.6.9,sahidic.psalms.113.20
Matt,6,9,113,21,20,sahidica.matthew.6.9,sahidic.psalms.113.21
Matt,6,9,113,22,20,sahidica.matthew.6.9,sahidic.psalms.113.22
Matt,6,9,113,23,20,sahidica.matthew.6.9,sahidic.psalms.113.23
Matt,6,9,113,24,20,sahidica.matthew.6.9,sahidic.psalms.113.24
Matt,6,9,113,25,20,sahidica.matthew.6.9,sahidic.psalms.113.25
Matt,6,9,113,26,20,sahidica.matthew.6.9,sahidic.psalms.113.26
Matt,6,9,71,18,20,sahidica.matthew.6.9,sahidic.psalms.71.18
