nt_book,nt_chap,nt_verse,lxx_chap,lxx_verse,votes,nt_v6_ref,lxx_v6_ref
Heb,4,7,94,7,20,novum_testamentum.ad_hebraeos.4.7,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.94.7
Heb,12,11,118,165,19,novum_testamentum.ad_hebraeos.12.11,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.118.165
Heb,4,12,109,2,18,novum_testamentum.ad_hebraeos.4.12,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.109.2
Heb,12,28,2,11,18,novum_testamentum.ad_hebraeos.12.28,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.2.11
Heb,13,16,36,3,18,novum_testamentum.ad_hebraeos.13.16,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.36.3
Heb,1,5,88,26,17,novum_testamentum.ad_hebraeos.1.5,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.88.26
Heb,1,5,88,27,17,novum_testamentum.ad_hebraeos.1.5,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.88.27
Heb,1,9,22,5,17,novum_testamentum.ad_hebraeos.1.9,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.22.5
Heb,6,19,42,5,17,novum_testamentum.ad_hebraeos.6.19,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.42.5
Heb,13,5,118,36,17,novum_testamentum.ad_hebraeos.13.5,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.118.36
Heb,13,15,144,1,17,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.144.1
Heb,13,15,144,2,17,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.144.2
Heb,13,15,144,3,17,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.144.3
Heb,13,15,144,4,17,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.144.4
Heb,13,15,144,5,17,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.144.5
Heb,13,15,144,6,17,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.144.6
Heb,13,15,144,7,17,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.144.7
Heb,13,15,144,8,17,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.144.8
Heb,13,15,144,9,17,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.144.9
Heb,13,15,144,10,17,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.144.10
Heb,13,15,144,11,17,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.144.11
Heb,13,15,144,12,17,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.144.12
Heb,13,15,144,13,17,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.144.13
Heb,13,15,144,14,17,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.144.14
Heb,13,15,144,15,17,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.144.15
