# Tesserae V6 Hebrew-Latin Cross-Lingual Dictionary
# Built by bridging hebrew_greek.csv (He->Grc, CATSS-derived) through
# greek_latin + perseus_greek_latin (Grc->La). Format: hebrew,latin (one pair/line).
# Purpose: Hebrew Bible <-> Latin Vulgate (and wider Latin corpus) cross-lingual search.
אשה,alius
אשה,alter
אשה,mutuus
אשה,coniunx
אשה,muliebris
אשה,unus
אשה,complures
אשה,alienus
אשה,aliter
אשה,quisquam
אשחית,pereo
אשחית,perdo
אשחית,amitto
אשחית,mors
אשחית,deleo
אשחית,intereo
אשחית,ruina
אשחית,disperdo
אשחית,interfacio
אשחית,morior
אשחית,exitium
אשיב,uendo
אשיב,restituo
אשיב,soluo
אשיב,trado
אשיב,redeo
אשיב,reuorto
אשיב,stipendium
אשיב,libero
אשיה,columna
אשיה,crusta
אשימ,pono
אשימ,loco
אשימ,statuo
אשימ,colloco
אשימ,locus
אשית,pono
אשית,loco
אשית,statuo
אשית,colloco
אשית,locus
אשכבה,sopio
אשכבה,quiesco
אשכבה,somnus
אשכבה,dormio
אשכול,labrusca
אשכול,uva
אשכח,obliuiscor
אשכר,tributum
אשכר,vectigal
אשל,arvum
אשל,ager
אשל,campus
אשל,seges
אשלח,mitto
אשלח,littera
אשלח,dimitto
אשלחה,mitto
אשלחה,littera
אשלחה,dimitto
אשלמ,uendo
אשלמ,restituo
אשלמ,soluo
אשלמ,trado
אשלמ,redeo
אשלמ,reuorto
אשלמ,stipendium
אשלמ,libero
אשמ,tormentum
אשמע,audio
אשמע,exaudio
אשמע,ausculto
אשמעה,audio
אשמעה,exaudio
אשמעה,ausculto
אשמר,servo
אשמר,custodio
אשמר,praesidium
אשמר,caueo
אשמר,custos
אשמרה,servo
אשמרה,custodio
אשמרה,praesidium
אשמרה,caueo
אשמרה,custos
אשמרת,custodia
אשמרת,vigilia
אשמרת,praesidium
אשמרת,carcer
אשמרת,uinculum
אשמרת,custos
אשנב,fenestra
אשפ,magus
אשפי,magus
אשפימ,magus
אשפינ,magus
אשפכ,effundo
אשרה,lucus
אשרה,silua
אשרי,beo
אשרימ,arbor
אשרימ,lignum
אשת,coniunx
